,100,110,120,130,140,150,160,200
1,0,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0
8,0,0,0,0,0,0,0,0
9,NA,0,0,0,0,0,0,0
10,NA,0,0,0,0,0,0,0
11,NA,NA,0,0,0,0,0,0
12,NA,NA,0,0,0,0,0,0
13,NA,NA,0,0,0,0,0,0
14,NA,NA,0,0,0,0,0,0
15,NA,NA,0,0,0,0,0,0
16,NA,NA,NA,7,8,9,10,12
17,NA,NA,NA,8,9,10,11,13
18,NA,NA,NA,9,10,11,12,14
19,NA,NA,NA,10,11,12,13,15
20,NA,NA,NA,11,12,13,14,16
21,NA,NA,NA,NA,13,14,15,17
22,NA,NA,NA,NA,15,16,17,19
23,NA,NA,NA,NA,0,0,0,0
24,NA,NA,NA,NA,0,0,0,0
25,NA,NA,NA,NA,0,0,0,0
