"","DPM","DPMRatio","Restraint","RestraintRatio","40s","40sRatio"
"Blaster",16528622887968,1.7207,14509869054147,1.6941,24932978421235,1.7798
"Cadena",16307303291607,1.6976,14010262659154,1.6358,23523329786576,1.6792
"Adele",15968425694605,1.6623,15305202368484,1.787,23389318009581,1.6697
"Hoyeong",15098384844933,1.5718,15984953415192,1.8663,25675948860907,1.8329
"NightWalker",15056556950557,1.5674,15434307839474,1.802,24298505798165,1.7346
"Kinesis",14885230901787,1.5496,10598519009101,1.2374,18185942245793,1.2982
"ArchMageFP",14613391482490,1.5213,9747692731689,1.1381,16725984633634,1.194
"Hero",14509274262274,1.5104,13123830252009,1.5323,23788612016557,1.6982
"Evan",14457646574407,1.5051,12561978309802,1.4667,17568613120278,1.2541
"NightLord",14406527968491,1.4997,20273512095579,2.367,28699252492410,2.0487
"Illium",14293928000649,1.488,9962680088249,1.1632,18597387785373,1.3276
"Ark",14065210283789,1.4642,15982715477788,1.8661,24147609248758,1.7238
"WildHunter",13890972472063,1.4461,13718379940638,1.6017,22282443819856,1.5906
"PathFinder",13752154379701,1.4316,12006686026934,1.4018,19195886059668,1.3703
"DemonSlayer",13547627933921,1.4103,11195700045067,1.3072,19158826166928,1.3677
"Mechanic",13418782545844,1.3969,11985411244822,1.3994,18701027635947,1.335
"AngelicBuster",13351694353845,1.3899,11273995417659,1.3163,17109898723536,1.2214
"SoulMaster",13303950355671,1.385,8815629204794,1.0293,15735164313106,1.1233
"Shadower",13138102548894,1.3677,10084079073888,1.1774,16160739253270,1.1536
"ArchMageTC",13097494927442,1.3635,14558265832021,1.6998,19126216584953,1.3653
"Aran",13095207956385,1.3632,12052510141387,1.4072,21796764161709,1.556
"Captain",13046668710657,1.3582,10425312205284,1.2172,15268336315988,1.0899
"BattleMage",13002191910883,1.3535,10203851204802,1.1914,19777900661876,1.4119
"Kain",12965248301374,1.3497,14575923958426,1.7018,20302013122521,1.4493
"Kaiser",12797327890169,1.3322,8219920222038,0.9597,15548717122491,1.11
"Zero",12528490121164,1.3042,8832751283592,1.0313,15758950340922,1.125
"Mikhail",12452223204097,1.2963,10936044066890,1.2768,19463591291179,1.3894
"Eunwol",12372041368201,1.2879,10930875880147,1.2762,16518749014340,1.1792
"Marksman",12206811595054,1.2707,11791901892675,1.3768,18332721605350,1.3087
"DarkKnight",12050029157787,1.2544,11580815462853,1.3521,17413563028812,1.2431
"Viper",11987320829691,1.2479,8612729316424,1.0056,14276219912674,1.0191
"Lara",11910241921942,1.2399,11437232201748,1.3354,15317815751037,1.0935
"Luminous",11872649855503,1.236,8436841425392,0.985,14815446100010,1.0576
"Bowmaster",11871046447958,1.2358,8794050574277,1.0268,16519145918736,1.1792
"Phantom",11813085572266,1.2298,10812022876478,1.2624,15809808867473,1.1286
"FlameWizard",11808013176075,1.2292,9266547973395,1.0819,14520128970131,1.0365
"Striker",11698266661132,1.2178,8013472958103,0.9356,13951912180629,0.996
"DualBlader",11655920535101,1.2134,10517909010813,1.228,15681473980934,1.1194
"WindBreaker",11244887018934,1.1706,7971259323286,0.9307,13806504080877,0.9856
"CannonMaster",10938094553479,1.1387,9734443393508,1.1365,14933428848034,1.066
"Mercedes",10760927493131,1.1202,11478670418097,1.3402,17716139791543,1.2647
"Palladin",10659385423088,1.1097,9542683188572,1.1142,14373395567183,1.026
"Bishop",9606032114586,1,8564931822517,1,14008475650598,1
"Xenon",0,0,0,0,0,0
"DemonAvenger",0,0,0,0,0,0
