"","DPM","DPMRatio","Restraint","RestraintRatio","40s","40sRatio"
"ArchMageFP",18888841988151,1.2661,12220119044200,0.9698,20726919350471,0.9577
"Blaster",17822775000938,1.1946,15047555837405,1.1942,26335364649148,1.2169
"Cadena",17562250785114,1.1772,14653561068696,1.1629,24798121152702,1.1458
"Captain",17461898204865,1.1704,13353672027858,1.0597,20683351187401,0.9557
"DarkKnight",17205734851264,1.1533,14538762922729,1.1538,20898204319843,0.9656
"ArchMageTC",17010583478626,1.1402,16582173708494,1.316,22818900893444,1.0544
"Kinesis",16829052931648,1.128,12384749488780,0.9829,20861328694464,0.9639
"NightWalker",16674242256725,1.1177,17614546124512,1.3979,25433678941328,1.1752
"Viper",16657021587963,1.1165,13317506208290,1.0569,20826541949453,0.9623
"SoulMaster",16654326655663,1.1163,12754632871941,1.0122,23183366525654,1.0712
"Shadower",16543056779151,1.1089,13188319024296,1.0466,20077382812311,0.9277
"Hero",16378864209535,1.0979,15559067155506,1.2348,26719629332286,1.2346
"Bowmaster",16332909900295,1.0948,11779396491867,0.9348,23142714105432,1.0693
"Marksman",16241366960848,1.0886,13141156826148,1.0429,21637479212955,0.9998
"Striker",16075537716140,1.0775,11031589595470,0.8755,18112098793642,0.8369
"Adele",16006755739378,1.0729,15365900020931,1.2194,23452181108446,1.0836
"Kaiser",15973738090245,1.0707,10521171826106,0.835,19431868556122,0.8979
"PathFinder",15946875967625,1.0689,13065628572043,1.0369,21124459143568,0.9761
"WildHunter",15725280314984,1.054,15564693337938,1.2352,25072770987312,1.1585
"NightLord",15549779559498,1.0423,21550734809166,1.7103,30736571791508,1.4202
"Mercedes",15499548704152,1.0389,16640952876748,1.3206,25292925334314,1.1687
"Aran",15456430092187,1.036,13104392461537,1.04,23437548966542,1.083
"AngelicBuster",15386283449652,1.0313,12952017029560,1.0279,19686502034372,0.9096
"Hoyeong",15274385524686,1.0238,16194099138109,1.2852,25979446154995,1.2004
"Evan",15220242033235,1.0202,13795324135052,1.0948,18816800337708,0.8695
"Palladin",15183744640544,1.0177,14889713373982,1.1816,22092820504922,1.0208
"Illium",15146393423274,1.0152,11948836705796,0.9483,22513073841470,1.0402
"CannonMaster",15056375043300,1.0092,13996054684071,1.1107,20985812710181,0.9697
"BattleMage",14979425681550,1.0041,11124006400096,0.8828,21617977115423,0.9989
"DemonSlayer",14972202745319,1.0036,11901413981532,0.9445,20083757470073,0.928
"WindBreaker",14922522376098,1.0002,10717572896282,0.8505,18264261253835,0.8439
"Bishop",14918979394638,1,12600830680580,1,21642181675648,1
"Eunwol",14869241252314,0.9967,13483415987485,1.07,19793487953786,0.9146
"Xenon",14817957593810,0.9932,15818482488206,1.2554,22711854886220,1.0494
"DemonAvenger",14813471348622,0.9929,8296408146393,0.6584,15177967555356,0.7013
"Luminous",14785703705095,0.9911,10641029792081,0.8445,18560196756693,0.8576
"Lara",14581669039838,0.9774,13910187703903,1.1039,18626107399352,0.8606
"FlameWizard",14518376236308,0.9731,12576988719526,0.9981,18024426557058,0.8328
"Zero",14435071954178,0.9676,11281217054853,0.8953,19022375574328,0.8789
"Kain",14120094074525,0.9465,15296967035186,1.214,21699976229720,1.0027
"Ark",14100820892505,0.9452,15989749762713,1.2689,24192013548622,1.1178
"DualBlader",14005769612228,0.9388,15504417604814,1.2304,20274515128049,0.9368
"Mikhail",13987319519657,0.9376,12566544030216,0.9973,20318829989037,0.9389
"Mechanic",13750449809385,0.9217,11972766890573,0.9502,18899856687755,0.8733
"Phantom",13294304121193,0.8911,13732234288072,1.0898,19045069523059,0.88
