"","DPM","DPMRatio","Restraint","RestraintRatio","40s","40sRatio"
"Blaster",16528622887968,1.7207,14509869054147,1.6941,24932978421235,1.7798
"Cadena",16320990733058,1.699,14022022092731,1.6371,23543073958462,1.6806
"Adele",15968425694605,1.6623,15305202368484,1.787,23389318009581,1.6697
"Hoyeong",15111672573392,1.5731,15999021391507,1.868,25698545651219,1.8345
"NightWalker",15069390657144,1.5687,15447463528311,1.8036,24319217033472,1.736
"Kinesis",14899376295691,1.551,10608590752507,1.2386,18203224296591,1.2994
"ArchMageFP",14613391482490,1.5213,9747692731689,1.1381,16725984633634,1.194
"Hero",14509274262274,1.5104,13123830252009,1.5323,23788612016557,1.6982
"Evan",14470711518289,1.5064,12572739341815,1.4679,17583663011588,1.2552
"NightLord",14418323524233,1.501,20289658376163,2.3689,28722109221974,2.0503
"Illium",14307557385215,1.4894,9972179590291,1.1643,18615120556242,1.3288
"Ark",14065210283789,1.4642,15982715477788,1.8661,24147609248758,1.7238
"WildHunter",13890972472063,1.4461,13718379940638,1.6017,22282443819856,1.5906
"PathFinder",13752154379701,1.4316,12006686026934,1.4018,19195886059668,1.3703
"DemonSlayer",13547627933921,1.4103,11195700045067,1.3072,19158826166928,1.3677
"Mechanic",13418782545844,1.3969,11985411244822,1.3994,18701027635947,1.335
"AngelicBuster",13351694353845,1.3899,11273995417659,1.3163,17109898723536,1.2214
"SoulMaster",13303950355671,1.385,8815629204794,1.0293,15735164313106,1.1233
"Shadower",13148719389284,1.3688,10091807546158,1.1783,16173124898432,1.1545
"ArchMageTC",13101611366241,1.3639,14567016958902,1.7008,19140889479842,1.3664
"Aran",13095207956385,1.3632,12052510141387,1.4072,21796764161709,1.556
"Captain",13046668710657,1.3582,10425312205284,1.2172,15268336315988,1.0899
"BattleMage",13013924790050,1.3548,10212595352695,1.1924,19794849251672,1.4131
"Kain",12965248301374,1.3497,14575923958426,1.7018,20302013122521,1.4493
"Kaiser",12797327890169,1.3322,8219920222038,0.9597,15548717122491,1.11
"Zero",12519409044831,1.3033,8849822320375,1.0333,15766914460694,1.1255
"Mikhail",12452223204097,1.2963,10936044066890,1.2768,19463591291179,1.3894
"Eunwol",12372041368201,1.2879,10930875880147,1.2762,16518749014340,1.1792
"Marksman",12206811595054,1.2707,11791901892675,1.3768,18332721605350,1.3087
"DarkKnight",12050029157787,1.2544,11580815462853,1.3521,17413563028812,1.2431
"Viper",11987320829691,1.2479,8612729316424,1.0056,14276219912674,1.0191
"Lara",11960318716241,1.2451,11427164506355,1.3342,15330033591250,1.0943
"Bowmaster",11920474979039,1.2409,8823966191460,1.0302,16574873220574,1.1832
"Luminous",11872649855503,1.236,8436841425392,0.985,14815446100010,1.0576
"Phantom",11822661551885,1.2308,10820356678410,1.2633,15821994914172,1.1295
"FlameWizard",11808013176075,1.2292,9266547973395,1.0819,14520128970131,1.0365
"Striker",11698266661132,1.2178,8013472958103,0.9356,13951912180629,0.996
"DualBlader",11665267926636,1.2144,10525940294940,1.229,15693448069409,1.1203
"Xenon",11299644496668,1.1763,12964568584255,1.5137,17817872634136,1.2719
"WindBreaker",11244887018934,1.1706,7971259323286,0.9307,13806504080877,0.9856
"Mercedes",11137630647916,1.1594,11649103889658,1.3601,18182267761966,1.2979
"CannonMaster",10938094553479,1.1387,9734443393508,1.1365,14933428848034,1.066
"Palladin",10659385423088,1.1097,9542683188572,1.1142,14373395567183,1.026
"DemonAvenger",10429598128799,1.0857,6269586419752,0.732,11221478468442,0.801
"Bishop",9606032114586,1,8564931822517,1,14008475650598,1
