"","DPM","DPMRatio","Restraint","RestraintRatio","40s","40sRatio"
"Blaster",16528622887968,1.7207,14509869054147,1.6941,24932978421235,1.7798
"Cadena",16320990733058,1.699,14022022092731,1.6371,23543073958462,1.6806
"Adele",15968425694605,1.6623,15305202368484,1.787,23389318009581,1.6697
"NightWalker",15495139792865,1.6131,16737633706811,1.9542,24115512603953,1.7215
"Hoyeong",15111672573392,1.5731,15999021391507,1.868,25698545651219,1.8345
"Hero",15004292368875,1.562,13584630141425,1.5861,24509319122814,1.7496
"Kinesis",14899376295691,1.551,10608590752507,1.2386,18203224296591,1.2994
"Illium",14641284645053,1.5242,11452729394265,1.3372,19000042829422,1.3563
"ArchMageFP",14613391482490,1.5213,9747692731689,1.1381,16725984633634,1.194
"Evan",14570527257718,1.5168,12569510364431,1.4676,17573181525733,1.2545
"NightLord",14418323524233,1.501,20289658376163,2.3689,28722109221974,2.0503
"Ark",14065210283789,1.4642,15982715477788,1.8661,24147609248758,1.7238
"WildHunter",13890972472063,1.4461,13718379940638,1.6017,22282443819856,1.5906
"PathFinder",13752154379701,1.4316,12006686026934,1.4018,19195886059668,1.3703
"DemonSlayer",13547627933921,1.4103,11195700045067,1.3072,19158826166928,1.3677
"Mechanic",13418782545844,1.3969,11985411244822,1.3994,18701027635947,1.335
"AngelicBuster",13351694353845,1.3899,11273995417659,1.3163,17109898723536,1.2214
"SoulMaster",13303950355671,1.385,8815629204794,1.0293,15735164313106,1.1233
"Shadower",13147767042743,1.3687,10091807546158,1.1783,16173124898432,1.1545
"ArchMageTC",13109691175708,1.3647,14575761770812,1.7018,19151646257664,1.3671
"Aran",13095207956385,1.3632,12052510141387,1.4072,21796764161709,1.556
"Captain",13046668710657,1.3582,10425312205284,1.2172,15268336315988,1.0899
"BattleMage",13013924790050,1.3548,10212595352695,1.1924,19794849251672,1.4131
"Kain",12903930337527,1.3433,14575923958426,1.7018,20302013122521,1.4493
"Kaiser",12797327890169,1.3322,8219920222038,0.9597,15548717122491,1.11
"Mikhail",12573792386918,1.3089,11616089596094,1.3562,19155876755694,1.3674
"Zero",12519409044831,1.3033,8849822320375,1.0333,15766914460694,1.1255
"Eunwol",12372041368201,1.2879,10930875880147,1.2762,16518749014340,1.1792
"Marksman",12206811595054,1.2707,11791901892675,1.3768,18332721605350,1.3087
"DarkKnight",12050029157787,1.2544,11580815462853,1.3521,17413563028812,1.2431
"Viper",11987320829691,1.2479,8612729316424,1.0056,14276219912674,1.0191
"Lara",11958626275511,1.2449,11427164506355,1.3342,15330033591250,1.0943
"FlameWizard",11925779155227,1.2415,10040915118003,1.1723,15059276820107,1.075
"Bowmaster",11920474979039,1.2409,8823966191460,1.0302,16574873220574,1.1832
"Luminous",11872649855503,1.236,8436841425392,0.985,14815446100010,1.0576
"Phantom",11822661551885,1.2308,10820356678410,1.2633,15821994914172,1.1295
"Striker",11698266661132,1.2178,8013472958103,0.9356,13951912180629,0.996
"DualBlader",11665267926636,1.2144,10525940294940,1.229,15693448069409,1.1203
"WindBreaker",11612887656615,1.2089,8216544199421,0.9593,14230280338330,1.0158
"Xenon",11299644496668,1.1763,12964568584255,1.5137,17817872634136,1.2719
"Mercedes",11174252270817,1.1633,11655422585890,1.3608,18197007173060,1.299
"Palladin",11044665388788,1.1498,9873184795562,1.1527,14879535726218,1.0622
"CannonMaster",10938094553479,1.1387,9734443393508,1.1365,14933428848034,1.066
"DemonAvenger",10444001351861,1.0872,6289270449041,0.7343,11259375048248,0.8038
"Bishop",9606032114586,1,8564931822517,1,14008475650598,1
